Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
09/03/2020;113582;4002;62512;3.52;55.04;41.44
08/03/2020;109814;3803;60695;3.46;55.27;41.27
07/03/2020;105836;3558;58359;3.36;55.14;41.50
06/03/2020;101800;3460;55866;3.40;54.88;41.72
05/03/2020;97886;3348;53797;3.42;54.96;41.62
04/03/2020;95124;3254;51171;3.42;53.79;42.79
03/03/2020;92844;3160;48229;3.40;51.95;44.65
02/03/2020;90309;3085;45602;3.42;50.50;46.09
01/03/2020;88371;2996;42716;3.39;48.34;48.27
29/02/2020;86013;2941;39782;3.42;46.25;50.33
28/02/2020;84124;2872;36711;3.41;43.64;52.95
27/02/2020;82756;2814;33277;3.40;40.21;56.39
26/02/2020;81397;2770;30384;3.40;37.33;59.27
25/02/2020;80415;2708;27905;3.37;34.70;61.93
24/02/2020;79570;2629;25227;3.30;31.70;64.99
23/02/2020;78985;2469;23394;3.13;29.62;67.26
22/02/2020;78599;2458;22886;3.13;29.12;67.76
21/02/2020;76843;2251;18890;2.93;24.58;72.49
20/02/2020;76199;2247;18177;2.95;23.85;73.20
19/02/2020;75641;2122;16121;2.81;21.31;75.88
18/02/2020;75138;2007;14352;2.67;19.10;78.23
17/02/2020;73260;1868;12583;2.55;17.18;80.27
16/02/2020;71226;1770;10865;2.49;15.25;82.26
15/02/2020;69032;1666;9395;2.41;13.61;83.98
14/02/2020;66887;1523;8058;2.28;12.05;85.68
13/02/2020;60370;1371;6295;2.27;10.43;87.30
12/02/2020;45222;1118;5150;2.47;11.39;86.14
11/02/2020;44803;1113;4683;2.48;10.45;87.06
10/02/2020;42763;1013;3946;2.37;9.23;88.40
09/02/2020;40151;906;3244;2.26;8.08;89.66
08/02/2020;37121;806;2616;2.17;7.05;90.78
07/02/2020;34392;719;2011;2.09;5.85;92.06
06/02/2020;30818;634;1487;2.06;4.83;93.12
05/02/2020;27636;564;1124;2.04;4.07;93.89
04/02/2020;23892;492;852;2.06;3.57;94.37
03/02/2020;19881;426;623;2.14;3.13;94.72
02/02/2020;16787;362;472;2.16;2.81;95.03
01/02/2020;12038;259;284;2.15;2.36;95.49
31/01/2020;9925;213;222;2.15;2.24;95.62
30/01/2020;8235;171;143;2.08;1.74;96.19
29/01/2020;6165;133;126;2.16;2.04;95.80
28/01/2020;5578;131;107;2.35;1.92;95.73
27/01/2020;2927;82;61;2.80;2.08;95.11
26/01/2020;2118;56;52;2.64;2.46;94.90
25/01/2020;1438;42;39;2.92;2.71;94.37
24/01/2020;941;26;36;2.76;3.83;93.41
23/01/2020;653;18;30;2.76;4.59;92.65
22/01/2020;555;17;28;3.06;5.05;91.89
