#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-22;335957;14634;97882;4.36;29.14;66.51
2020-03-21;304528;12973;91676;4.26;30.10;65.64
2020-03-20;272167;11299;87403;4.15;32.11;63.73
2020-03-19;242829;9996;84962;4.12;34.99;60.90
2020-03-18;215003;8849;83313;4.12;38.75;57.13
2020-03-17;197220;7932;80840;4.02;40.99;54.99
2020-03-16;181646;7132;78088;3.93;42.99;53.08
2020-03-15;168589;6490;76034;3.85;45.10;51.05
2020-03-14;156100;5819;72624;3.73;46.52;49.75
2020-03-13;145196;5442;70251;3.75;48.38;47.87
2020-03-12;133836;4964;68560;3.71;51.23;45.06
2020-03-11;125865;4615;67003;3.67;53.23;43.10
2020-03-10;118582;4262;64404;3.59;54.31;42.09
2020-03-09;113785;4002;62512;3.52;54.94;41.54
2020-03-08;109814;3803;60695;3.46;55.27;41.27
2020-03-07;105836;3558;58359;3.36;55.14;41.50
2020-03-06;101800;3460;55866;3.40;54.88;41.72
2020-03-05;97886;3348;53797;3.42;54.96;41.62
2020-03-04;95124;3254;51171;3.42;53.79;42.79
2020-03-03;92844;3160;48229;3.40;51.95;44.65
2020-03-02;90309;3085;45602;3.42;50.50;46.09
2020-03-01;88371;2996;42716;3.39;48.34;48.27
2020-02-29;86013;2941;39782;3.42;46.25;50.33
2020-02-28;84124;2872;36711;3.41;43.64;52.95
2020-02-27;82756;2814;33277;3.40;40.21;56.39
2020-02-26;81397;2770;30384;3.40;37.33;59.27
2020-02-25;80415;2708;27905;3.37;34.70;61.93
2020-02-24;79570;2629;25227;3.30;31.70;64.99
2020-02-23;78985;2469;23394;3.13;29.62;67.26
2020-02-22;78599;2458;22886;3.13;29.12;67.76
2020-02-21;76843;2251;18890;2.93;24.58;72.49
2020-02-20;76199;2247;18177;2.95;23.85;73.20
2020-02-19;75641;2122;16121;2.81;21.31;75.88
2020-02-18;75138;2007;14352;2.67;19.10;78.23
2020-02-17;73260;1868;12583;2.55;17.18;80.27
2020-02-16;71226;1770;10865;2.49;15.25;82.26
2020-02-15;69032;1666;9395;2.41;13.61;83.98
2020-02-14;66887;1523;8058;2.28;12.05;85.68
2020-02-13;60370;1371;6295;2.27;10.43;87.30
2020-02-12;45222;1118;5150;2.47;11.39;86.14
2020-02-11;44803;1113;4683;2.48;10.45;87.06
2020-02-10;42763;1013;3946;2.37;9.23;88.40
2020-02-09;40151;906;3244;2.26;8.08;89.66
2020-02-08;37121;806;2616;2.17;7.05;90.78
2020-02-07;34392;719;2011;2.09;5.85;92.06
2020-02-06;30818;634;1487;2.06;4.83;93.12
2020-02-05;27636;564;1124;2.04;4.07;93.89
2020-02-04;23892;492;852;2.06;3.57;94.37
2020-02-03;19881;426;623;2.14;3.13;94.72
2020-02-02;16787;362;472;2.16;2.81;95.03
2020-02-01;12038;259;284;2.15;2.36;95.49
2020-01-31;9925;213;222;2.15;2.24;95.62
2020-01-30;8235;171;143;2.08;1.74;96.19
2020-01-29;6165;133;126;2.16;2.04;95.80
2020-01-28;5578;131;107;2.35;1.92;95.73
2020-01-27;2927;82;61;2.80;2.08;95.11
2020-01-26;2118;56;52;2.64;2.46;94.90
2020-01-25;1438;42;39;2.92;2.71;94.37
2020-01-24;941;26;36;2.76;3.83;93.41
2020-01-23;653;18;30;2.76;4.59;92.65
2020-01-22;555;17;28;3.06;5.05;91.89
