Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
09/03/2020;Andorre;1;0;0;0.00;0.00;100.00
09/03/2020;Émirats Arabes Unis;45;0;7;0.00;15.56;84.44
09/03/2020;Afghanistan;4;0;0;0.00;0.00;100.00
09/03/2020;Albanie;2;0;0;0.00;0.00;100.00
09/03/2020;Arménie;1;0;0;0.00;0.00;100.00
09/03/2020;Argentine;12;1;0;8.33;0.00;91.67
09/03/2020;Autriche;131;0;2;0.00;1.53;98.47
09/03/2020;Australie;91;4;21;4.40;23.08;72.53
09/03/2020;Azerbaïdjan;9;0;0;0.00;0.00;100.00
09/03/2020;Bosnie-Herzégovine;3;0;0;0.00;0.00;100.00
09/03/2020;Bangladesh;3;0;0;0.00;0.00;100.00
09/03/2020;Belgique;239;0;1;0.00;0.42;99.58
09/03/2020;Bulgarie;4;0;0;0.00;0.00;100.00
09/03/2020;Bahreïn;95;0;14;0.00;14.74;85.26
09/03/2020;Brunéi Darussalam;1;0;0;0.00;0.00;100.00
09/03/2020;Brésil;25;0;0;0.00;0.00;100.00
09/03/2020;Saint Barthélemy;1;0;0;0.00;0.00;100.00
09/03/2020;Bhoutan;1;0;0;0.00;0.00;100.00
09/03/2020;Bélarus;6;0;1;0.00;16.67;83.33
09/03/2020;Canada;76;1;8;1.32;10.53;88.16
09/03/2020;Suisse;374;2;3;0.53;0.80;98.66
09/03/2020;Chili;8;0;0;0.00;0.00;100.00
09/03/2020;Cameroun;2;0;0;0.00;0.00;100.00
09/03/2020;Chine;80735;3120;58735;3.86;72.75;23.39
09/03/2020;Colombie;1;0;0;0.00;0.00;100.00
09/03/2020;Costa Rica;9;0;0;0.00;0.00;100.00
09/03/2020;Chypre;2;0;0;0.00;0.00;100.00
09/03/2020;République Tchèque;31;0;0;0.00;0.00;100.00
09/03/2020;Allemagne;1176;2;18;0.17;1.53;98.30
09/03/2020;Danemark;90;0;1;0.00;1.11;98.89
09/03/2020;République Dominicaine;5;0;0;0.00;0.00;100.00
09/03/2020;Algérie;20;0;0;0.00;0.00;100.00
09/03/2020;Équateur;15;0;0;0.00;0.00;100.00
09/03/2020;Estonie;10;0;0;0.00;0.00;100.00
09/03/2020;Égypte;55;1;12;1.82;21.82;76.36
09/03/2020;Espagne;1073;28;32;2.61;2.98;94.41
09/03/2020;Finlande;30;0;1;0.00;3.33;96.67
09/03/2020;Îles Féroé;2;0;0;0.00;0.00;100.00
09/03/2020;France;1209;25;12;1.57;0.99;97.44
